store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
Diamant,jewellery,https://www.diamant.ie/,www.diamant.ie,https://www.diamant.ie/special-offers,29,common_path,2026-02-14T09:45:32+00:00
Jack Wills,clothes,https://www.jackwills.com/dublinjw-store-2264,www.jackwills.com,https://www.jackwills.com/dublinjw-store-2264/special-offers,29,common_path,2026-02-14T09:45:35+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/special-offers,29,common_path,2026-02-14T09:45:39+00:00
SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,sisuclinic.com,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/special-offers,29,common_path,2026-02-14T09:45:45+00:00
Sound Hire,gadgets/electronics,https://www.soundhire.ie/,www.soundhire.ie,https://www.soundhire.ie/special-offers,29,common_path,2026-02-14T09:45:50+00:00
Bridge Jewellers,jewellery,https://www.bridgejewellers.ie/,www.bridgejewellers.ie,https://www.bridgejewellers.ie/special-offers,29,common_path,2026-02-14T09:45:53+00:00
Castle Computers,gadgets/electronics,https://www.castlecomputers.ie/,www.castlecomputers.ie,https://www.castlecomputers.ie/special-offers,29,common_path,2026-02-14T09:46:10+00:00
The Little Wooden Peg,clothes,https://thelittlewoodenpeg.com/,thelittlewoodenpeg.com,https://thelittlewoodenpeg.com/special-offers,29,common_path,2026-02-14T09:46:14+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/special-offers,29,common_path,2026-02-14T09:46:21+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/special-offers,29,common_path,2026-02-14T09:46:28+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/special-offers,29,common_path,2026-02-14T09:46:39+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/special-offers,29,common_path,2026-02-14T09:46:47+00:00
Next Home,home appliances,https://www.next.co.uk/homeware,www.next.co.uk,https://www.next.co.uk/homeware/special-offers,29,common_path,2026-02-14T09:46:53+00:00
