osm_type,osm_id,name,category,website,phone,opening_hours,addr,lat,lon,source,captured_at
node,130942937,Diamant,jewellery,https://www.diamant.ie/,,,"Mount Street Crescent, Dublin",53.3365213,-6.2438927,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,249430226,Chemist Warehouse,perfumes/beauty,,,Mo-Sa 08:00-19:00; Su 10:00-18:00; PH 10:00-18:00,"Talbot Street, Dublin",53.3504156,-6.2557289,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,300247459,Reid Furniture,home appliances,,,,,53.3282173,-6.3423204,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,310406922,the Loft,perfumes/beauty,,,,"1, Exchequer Street, Dublin",53.3431129,-6.2639723,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,366363183,Jack Wills,clothes,https://www.jackwills.com/dublinjw-store-2264,,,Dublin,53.3412401,-6.261265,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,441233509,(unnamed),clothes,,,,Ashtown Road,53.3760919,-6.333061,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,467744850,Weavers of Ireland,clothes,https://weaversofireland.com/,,,"9, Westmoreland Street, Dublin",53.3459126,-6.2594181,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,467744912,Dublin Electrical Wholesalers Ltd.,gadgets/electronics,,,,,53.3574591,-6.2510679,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,539137657,Mactivate,gadgets/electronics,,,,Unit 13,53.4104945,-6.3567434,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,564076265,SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,,,"3, Fields Terrace, Dublin",53.3252812,-6.2554094,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,564118857,Sound Hire,gadgets/electronics,https://www.soundhire.ie/,,,"Ranelagh, Dublin",53.3258912,-6.2557607,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,564453102,Fix My Tech,gadgets/electronics,,+353-1-4976106,,"35, Rathmines Road Upper",53.3208633,-6.2656653,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,576099238,Beauty Bar,perfumes/beauty,,,,,53.3335062,-6.2415014,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,576619734,Bridge Jewellers,jewellery,https://www.bridgejewellers.ie/,,,"Shelbourne Road, Dublin",53.3300884,-6.2320897,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,639846205,Reddy's,perfumes/beauty,,+353 1 837 3443,,"167, Saint Mobhi Road, Dublin",53.3706591,-6.2682696,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,647131335,Home Store + More,home appliances,,,,"Belgard Road, Tallaght",53.2932707,-6.3704366,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,650350878,Castle Computers,gadgets/electronics,https://www.castlecomputers.ie/,,,,53.3560626,-6.2649656,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,658492246,The Little Wooden Peg,clothes,https://thelittlewoodenpeg.com/,,Mo-Sa 09:30-17:00,"55, Georges Street Upper, Dún Laoghaire, A96 DK26",53.2898164,-6.1305591,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,658492285,New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,+353-1-214-0066,Mo-Tu 10:00-19:00; We 10:00-19:30; Th 10:00-20:00; Fr 10:00-19:30; Sa 10:00-19:00; Su 11:00-18:00,"52, Georges Street Upper, Dún Laoghaire",53.2899399,-6.1308475,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
